id,field,before,after
75,q,Xanh-ximông là đại biểu của trường phải nào?,Xanh-ximông là đại biểu của trường phái nào?
77,q,Một sinh viên tóm tắt nội dung quy luật về sự phủ hợp giữa quan hệ sản xuất với trình độ của như sau. Đáp án nào sau đây là đúng?,Một sinh viên tóm tắt nội dung quy luật về sự phù hợp giữa quan hệ sản xuất với trình độ của như sau. Đáp án nào sau đây là đúng?
79,q,"Theo V.I.Lênin. Quan điểm về đời sống, về thực tiễn phải là...của lý luận nhận thức:","Theo V.I. Lênin. Quan điểm về đời sống, về thực tiễn phải là...của lý luận nhận thức:"
80,q,Công lao của C.Mác và Ph.Ăngghen với nhận thức là gì?,Công lao của C. Mác và Ph. Ăngghen với nhận thức là gì?
82,q,"Đứng im, cân bằng chi xảy ra trong một số quan hệ nhất định chứ không phải trong mọi quan hệ là:","Đứng im, cân bằng chỉ xảy ra trong một số quan hệ nhất định chứ không phải trong mọi quan hệ là:"
84,q,Đâu là một phát minh vĩ đại của C.Mác đã đem lại một cuộc cách mạng trong triết học về xã hội,Đâu là một phát minh vĩ đại của C. Mác đã đem lại một cuộc cách mạng trong triết học về xã hội
84,option_3,Chủ nghĩa duy vật chất phát,Chủ nghĩa duy vật chất phác
87,option_0,Ý thức của gia cấp nắm quyền lực nhà nước,Ý thức của giai cấp nắm quyền lực nhà nước
87,option_1,Ý trí của nhân dân,Ý chí của nhân dân
89,q,"Theo cách phân chia các hình thức vận động của Ph.Ăngghen, hình thức vận động nào là thấp nhất, đơn giản nhất?","Theo cách phân chia các hình thức vận động của Ph. Ăngghen, hình thức vận động nào là thấp nhất, đơn giản nhất?"
91,option_2,"Nếu mâu thuẫn có thể giải quyết được thì không cần đến sự ra đời của nhà nước, sự ra đời của nó chỉ chứng tỏ rằng mâu thuẫn đã phát triễn đến chỗ không thể giải quyết được nên cần đến sự ra đời của nhà nước.","Nếu mâu thuẫn có thể giải quyết được thì không cần đến sự ra đời của nhà nước, sự ra đời của nó chỉ chứng tỏ rằng mâu thuẫn đã phát triển đến chỗ không thể giải quyết được nên cần đến sự ra đời của nhà nước."
95,option_0,"Tác động qua lại giữa các mặt, các yếu tố bên trong sự vật hay giữa sự vật này với sự vật khia tạo ra những biến đổi nhất định","Tác động qua lại giữa các mặt, các yếu tố bên trong sự vật hay giữa sự vật này với sự vật kia tạo ra những biến đổi nhất định"
